Year;Water rise
1950;0.07
1951;0.07
1952;0.08
1953;0.08
1954;0.08
1955;0.08
1956;0.08
1957;0.07
1958;0.08
1959;0.08
1960;0.08
1961;0.09
1962;0.09
1963;0.09
1964;0.09
1965;0.08
1966;0.09
1967;0.09
1968;0.09
1969;0.09
1970;0.09
1971;0.09
1972;0.09
1973;0.10
1974;0.09
1975;0.10
1976;0.10
1977;0.10
1978;0.10
1979;0.10
1980;0.10
1981;0.11
1982;0.11
1983;0.11
1984;0.11
1985;0.12
1986;0.11
1987;0.11
1988;0.11
1989;0.11
1990;0.12
1991;0.12
1992;0.12
1993;0.12
1994;0.13
1995;0.13
1996;0.13
1997;0.13
1998;0.14
1999;0.14
2000;0.14
2001;0.14
2002;0.15
2003;0.15
2004;0.15
2005;0.16
2006;0.16
2007;0.16
2008;0.16
2009;0.17
2010;0.17
2011;0.17
2012;0.17
2013;0.18
2014;0.19
2015;0.19
2016;0.20
2017;0.20
2018;0.20
2019;0.21
2020;0.21
